po_id,supplier_id,material_id,quantity,unit_cost,total_cost,order_date,expected_delivery,actual_delivery,status
PO-0932,SUP-007,MAT-020,229,21.5,4923.5,2023-08-24,2023-09-01,2023-09-04,delivered
PO-0436,SUP-003,MAT-009,222,26.81,5951.82,2023-08-24,2023-09-04,2023-09-05,delivered
PO-0868,SUP-006,MAT-018,74,54.04,3998.96,2023-08-25,2023-09-12,2023-09-18,delivered
PO-0351,SUP-002,MAT-007,138,66.69,9203.22,2023-08-25,2023-09-15,2023-09-18,delivered
PO-0872,SUP-006,MAT-018,52,56.69,2947.88,2023-08-28,2023-09-15,2023-09-15,delivered
PO-1194,SUP-008,MAT-023,617,6.6,4072.2,2023-08-28,2023-09-01,2023-09-04,delivered
PO-0118,SUP-001,MAT-001,35,827.65,28967.75,2023-08-28,2023-09-11,2023-09-20,delivered
PO-0282,SUP-002,MAT-005,142,90.31,12824.02,2023-08-28,2023-09-18,2023-09-18,delivered
PO-0682,SUP-005,MAT-016,123,8.29,1019.67,2023-08-28,2023-09-04,2023-09-05,delivered
PO-0392,SUP-003,MAT-010,267,17.19,4589.73,2023-08-28,2023-09-07,2023-09-07,delivered
PO-0399,SUP-003,MAT-009,135,26.78,3615.3,2023-08-28,2023-09-07,2023-09-07,delivered
PO-0434,SUP-003,MAT-010,277,17.6,4875.2,2023-08-28,2023-09-07,2023-09-07,delivered
PO-0133,SUP-001,MAT-004,347,45.19,15680.93,2023-08-28,2023-09-11,2023-09-12,delivered
PO-0904,SUP-007,MAT-020,146,21.46,3133.16,2023-08-28,2023-09-05,2023-09-05,delivered
PO-0390,SUP-003,MAT-009,186,27.26,5070.36,2023-08-28,2023-09-07,2023-09-07,delivered
PO-0057,SUP-001,MAT-003,27,486.34,13131.18,2023-08-31,2023-09-14,2023-09-15,delivered
PO-0632,SUP-004,MAT-013,101,66.58,6724.58,2023-08-31,2023-09-07,2023-09-08,delivered
PO-0415,SUP-003,MAT-009,133,28.26,3758.58,2023-09-01,2023-09-11,2023-09-11,delivered
PO-0600,SUP-004,MAT-013,62,64.18,3979.16,2023-09-01,2023-09-08,2023-09-11,delivered
PO-0814,SUP-005,MAT-015,536,12.25,6566.0,2023-09-01,2023-09-06,2023-09-07,delivered
PO-0245,SUP-002,MAT-007,146,66.84,9758.64,2023-09-04,2023-09-25,2023-09-25,delivered
PO-0095,SUP-001,MAT-001,37,854.41,31613.17,2023-09-04,2023-09-18,2023-09-18,delivered
PO-0340,SUP-002,MAT-006,96,80.62,7739.52,2023-09-04,2023-09-25,2023-09-25,delivered
PO-0961,SUP-007,MAT-022,98,17.41,1706.18,2023-09-04,2023-09-12,2023-09-13,delivered
PO-0162,SUP-001,MAT-002,54,715.98,38662.92,2023-09-04,2023-09-18,2023-09-19,delivered
PO-0468,SUP-003,MAT-008,241,33.37,8042.17,2023-09-04,2023-09-14,2023-09-15,delivered
PO-0276,SUP-002,MAT-005,198,97.19,19243.62,2023-09-04,2023-09-25,2023-09-26,delivered
PO-0826,SUP-006,MAT-019,27,40.66,1097.82,2023-09-05,2023-09-25,2023-09-26,delivered
PO-0451,SUP-003,MAT-010,283,18.45,5221.35,2023-09-06,2023-09-18,2023-09-19,delivered
PO-1131,SUP-008,MAT-025,1242,1.98,2459.16,2023-09-06,2023-09-11,2023-09-12,delivered
PO-1028,SUP-008,MAT-024,152,14.89,2263.28,2023-09-06,2023-09-11,2023-09-11,delivered
PO-0266,SUP-002,MAT-005,203,91.93,18661.79,2023-09-06,2023-09-27,2023-09-27,delivered
PO-0983,SUP-007,MAT-021,187,27.87,5211.69,2023-09-07,2023-09-15,2023-09-15,delivered
PO-0031,SUP-001,MAT-004,343,43.9,15057.7,2023-09-07,2023-09-21,2023-09-22,delivered
PO-0292,SUP-002,MAT-007,112,64.73,7249.76,2023-09-07,2023-09-28,2023-09-29,delivered
PO-0289,SUP-002,MAT-005,128,91.08,11658.24,2023-09-08,2023-09-29,2023-10-02,delivered
PO-0145,SUP-001,MAT-001,37,869.81,32182.97,2023-09-08,2023-09-22,2023-09-25,delivered
PO-1008,SUP-007,MAT-022,151,17.71,2674.21,2023-09-11,2023-09-19,2023-09-20,delivered
PO-0432,SUP-003,MAT-008,102,31.47,3209.94,2023-09-11,2023-09-21,2023-09-21,delivered
PO-0184,SUP-001,MAT-003,30,499.4,14982.0,2023-09-11,2023-09-25,2023-09-26,delivered
PO-1075,SUP-008,MAT-023,266,6.25,1662.5,2023-09-11,2023-09-15,2023-09-15,delivered
PO-0331,SUP-002,MAT-007,127,66.65,8464.55,2023-09-11,2023-10-02,2023-10-02,delivered
PO-0354,SUP-002,MAT-005,138,97.14,13405.32,2023-09-12,2023-10-03,2023-10-03,delivered
PO-0457,SUP-003,MAT-009,125,27.31,3413.75,2023-09-12,2023-09-22,2023-09-25,delivered
PO-0519,SUP-004,MAT-013,62,65.62,4068.44,2023-09-13,2023-09-20,2023-09-20,delivered
PO-1036,SUP-008,MAT-024,193,15.24,2941.32,2023-09-14,2023-09-18,2023-09-19,delivered
PO-0906,SUP-007,MAT-020,205,22.98,4710.9,2023-09-14,2023-09-22,2023-09-22,delivered
PO-0737,SUP-005,MAT-014,1827,4.5,8221.5,2023-09-15,2023-09-20,2023-09-21,delivered
PO-1122,SUP-008,MAT-024,169,15.22,2572.18,2023-09-15,2023-09-19,2023-09-19,delivered
PO-0588,SUP-004,MAT-013,74,65.03,4812.22,2023-09-18,2023-09-25,2023-09-25,delivered
PO-0978,SUP-007,MAT-022,111,17.13,1901.43,2023-09-18,2023-09-26,2023-09-26,delivered
PO-0429,SUP-003,MAT-008,196,32.34,6338.64,2023-09-18,2023-09-28,2023-09-28,delivered
PO-0669,SUP-004,MAT-012,50,178.88,8944.0,2023-09-18,2023-09-25,2023-09-25,delivered
PO-0874,SUP-006,MAT-018,74,53.99,3995.26,2023-09-19,2023-10-09,2023-10-09,delivered
PO-0441,SUP-003,MAT-010,295,17.29,5100.55,2023-09-19,2023-09-29,2023-10-02,delivered
PO-1134,SUP-008,MAT-024,136,15.3,2080.8,2023-09-19,2023-09-25,2023-09-25,delivered
PO-0925,SUP-007,MAT-022,135,18.65,2517.75,2023-09-19,2023-09-27,2023-09-27,delivered
PO-0446,SUP-003,MAT-010,431,18.66,8042.46,2023-09-20,2023-10-02,2023-10-03,delivered
PO-0326,SUP-002,MAT-005,161,90.94,14641.34,2023-09-20,2023-10-11,2023-10-11,delivered
PO-0698,SUP-005,MAT-017,853,3.04,2593.12,2023-09-20,2023-09-25,2023-09-26,delivered
PO-0686,SUP-005,MAT-017,951,3.29,3128.79,2023-09-20,2023-09-25,2023-09-26,delivered
PO-0107,SUP-001,MAT-002,71,724.29,51424.59,2023-09-20,2023-10-04,2023-10-05,delivered
PO-0134,SUP-001,MAT-002,45,706.46,31790.7,2023-09-21,2023-10-05,2023-10-06,delivered
PO-0376,SUP-003,MAT-010,365,18.67,6814.55,2023-09-22,2023-10-02,2023-10-03,delivered
PO-0485,SUP-003,MAT-009,167,27.59,4607.53,2023-09-25,2023-10-05,2023-10-05,delivered
PO-0225,SUP-002,MAT-005,147,97.82,14379.54,2023-09-25,2023-10-16,2023-10-17,delivered
PO-1168,SUP-008,MAT-024,182,15.44,2810.08,2023-09-25,2023-09-29,2023-09-29,delivered
PO-0950,SUP-007,MAT-020,226,22.11,4996.86,2023-09-25,2023-10-03,2023-10-04,delivered
PO-0724,SUP-005,MAT-016,184,7.87,1448.08,2023-09-25,2023-10-02,2023-10-02,delivered
PO-0852,SUP-006,MAT-018,88,57.45,5055.6,2023-09-25,2023-10-13,2023-10-16,delivered
PO-0640,SUP-004,MAT-012,47,184.23,8658.81,2023-09-25,2023-10-02,2023-10-02,delivered
PO-0474,SUP-003,MAT-009,179,27.06,4843.74,2023-09-25,2023-10-05,2023-10-05,delivered
PO-1037,SUP-008,MAT-024,118,15.02,1772.36,2023-09-26,2023-10-02,2023-10-03,delivered
PO-0028,SUP-001,MAT-003,29,500.5,14514.5,2023-09-26,2023-10-10,2023-10-10,delivered
PO-1022,SUP-008,MAT-025,1249,2.09,2610.41,2023-09-26,2023-10-02,2023-10-02,delivered
PO-0395,SUP-003,MAT-009,212,27.25,5777.0,2023-09-26,2023-10-06,2023-10-06,delivered
PO-1165,SUP-008,MAT-023,586,6.54,3832.44,2023-09-27,2023-10-02,2023-10-02,delivered
PO-0785,SUP-005,MAT-014,2249,4.53,10187.97,2023-09-27,2023-10-02,2023-10-03,delivered
PO-0368,SUP-003,MAT-009,129,28.27,3646.83,2023-09-28,2023-10-09,2023-10-09,delivered
PO-0489,SUP-003,MAT-010,272,18.61,5061.92,2023-09-28,2023-10-09,2023-10-10,delivered
PO-1189,SUP-008,MAT-024,158,14.89,2352.62,2023-09-29,2023-10-03,2023-10-03,delivered
PO-0470,SUP-003,MAT-010,293,18.22,5338.46,2023-09-29,2023-10-09,2023-10-10,delivered
PO-0601,SUP-004,MAT-013,72,62.06,4468.32,2023-10-02,2023-10-09,2023-10-10,delivered
PO-1009,SUP-008,MAT-025,1492,1.96,2924.32,2023-10-02,2023-10-06,2023-10-09,delivered
PO-0049,SUP-001,MAT-004,268,44.93,12041.24,2023-10-02,2023-10-16,2023-10-16,delivered
PO-0320,SUP-002,MAT-006,87,77.75,6764.25,2023-10-02,2023-10-23,2023-10-24,delivered
PO-0954,SUP-007,MAT-021,170,29.26,4974.2,2023-10-02,2023-10-10,2023-10-11,delivered
PO-0044,SUP-001,MAT-002,56,722.34,40451.04,2023-10-02,2023-10-16,2023-10-16,delivered
PO-1149,SUP-008,MAT-024,131,14.31,1874.61,2023-10-02,2023-10-06,2023-10-09,delivered
PO-0873,SUP-006,MAT-018,115,52.46,6032.9,2023-10-03,2023-10-23,2023-10-23,delivered
PO-0445,SUP-003,MAT-010,309,17.9,5531.1,2023-10-04,2023-10-16,2023-10-20,delivered
PO-0203,SUP-002,MAT-005,171,92.47,15812.37,2023-10-04,2023-10-25,2023-10-25,delivered
PO-1104,SUP-008,MAT-023,421,6.38,2685.98,2023-10-05,2023-10-09,2023-10-10,delivered
PO-0345,SUP-002,MAT-005,138,91.95,12689.1,2023-10-05,2023-10-26,2023-10-26,delivered
PO-0841,SUP-006,MAT-018,73,55.93,4082.89,2023-10-05,2023-10-23,2023-10-24,delivered
PO-1057,SUP-008,MAT-023,655,6.56,4296.8,2023-10-06,2023-10-10,2023-10-10,delivered
PO-0712,SUP-005,MAT-017,847,3.21,2718.87,2023-10-09,2023-10-16,2023-10-16,delivered
PO-1147,SUP-008,MAT-025,1151,1.97,2267.47,2023-10-09,2023-10-13,2023-10-13,delivered
PO-0010,SUP-001,MAT-003,23,467.98,10763.54,2023-10-09,2023-10-23,2023-10-24,delivered
PO-0179,SUP-001,MAT-002,56,752.27,42127.12,2023-10-09,2023-10-23,2023-10-23,delivered
PO-0513,SUP-004,MAT-013,72,67.52,4861.44,2023-10-09,2023-10-16,2023-10-16,delivered
PO-0224,SUP-002,MAT-006,80,74.82,5985.6,2023-10-10,2023-10-31,2023-10-31,delivered
PO-0505,SUP-004,MAT-012,48,175.66,8431.68,2023-10-11,2023-10-18,2023-10-18,delivered
PO-0638,SUP-004,MAT-011,72,123.14,8866.08,2023-10-11,2023-10-18,2023-10-19,delivered
PO-0882,SUP-006,MAT-019,63,40.11,2526.93,2023-10-12,2023-10-30,2023-10-30,delivered
PO-0643,SUP-004,MAT-012,32,181.87,5819.84,2023-10-12,2023-10-19,2023-10-20,delivered
PO-1110,SUP-008,MAT-024,150,15.5,2325.0,2023-10-12,2023-10-16,2023-10-16,delivered
PO-0706,SUP-005,MAT-017,840,3.09,2595.6,2023-10-12,2023-10-17,2023-10-17,delivered
PO-0612,SUP-004,MAT-013,92,66.98,6162.16,2023-10-12,2023-10-19,2023-10-19,delivered
PO-0213,SUP-002,MAT-005,145,90.65,13144.25,2023-10-12,2023-11-02,2023-11-02,delivered
PO-0327,SUP-002,MAT-006,105,74.94,7868.7,2023-10-13,2023-11-03,2023-11-06,delivered
PO-0501,SUP-003,MAT-009,198,27.09,5363.82,2023-10-13,2023-10-23,2023-10-24,delivered
PO-0887,SUP-006,MAT-018,71,57.53,4084.63,2023-10-16,2023-11-03,2023-11-06,delivered
PO-0905,SUP-007,MAT-022,131,18.07,2367.17,2023-10-16,2023-10-24,2023-10-25,delivered
PO-0677,SUP-005,MAT-015,555,11.81,6554.55,2023-10-16,2023-10-23,2023-10-23,delivered
PO-0360,SUP-002,MAT-007,148,62.1,9190.8,2023-10-16,2023-11-06,2023-11-06,delivered
PO-0540,SUP-004,MAT-012,53,183.94,9748.82,2023-10-16,2023-10-23,2023-10-24,delivered
PO-0846,SUP-006,MAT-018,85,55.33,4703.05,2023-10-16,2023-11-03,2023-11-06,delivered
PO-0200,SUP-002,MAT-006,99,74.58,7383.42,2023-10-16,2023-11-06,2023-11-07,delivered
PO-0778,SUP-005,MAT-017,665,3.14,2088.1,2023-10-16,2023-10-23,2023-10-23,delivered
PO-0299,SUP-002,MAT-006,83,75.25,6245.75,2023-10-16,2023-11-06,2023-11-07,delivered
PO-1175,SUP-008,MAT-023,630,6.72,4233.6,2023-10-18,2023-10-23,2023-10-23,delivered
PO-0709,SUP-005,MAT-017,930,3.3,3069.0,2023-10-18,2023-10-23,2023-10-23,delivered
PO-0098,SUP-001,MAT-004,123,45.59,5607.57,2023-10-18,2023-11-01,2023-11-02,delivered
PO-1054,SUP-008,MAT-024,164,14.61,2396.04,2023-10-19,2023-10-23,2023-10-24,delivered
PO-1176,SUP-008,MAT-025,786,1.96,1540.56,2023-10-19,2023-10-23,2023-10-23,delivered
PO-0979,SUP-007,MAT-021,159,28.85,4587.15,2023-10-20,2023-10-30,2023-10-30,delivered
PO-0725,SUP-005,MAT-014,1342,4.62,6200.04,2023-10-20,2023-10-25,2023-10-25,delivered
PO-1190,SUP-008,MAT-024,176,14.56,2562.56,2023-10-23,2023-10-27,2023-10-30,delivered
PO-0504,SUP-003,MAT-009,163,29.15,4751.45,2023-10-23,2023-11-02,2023-11-06,delivered
PO-0959,SUP-007,MAT-022,87,18.23,1586.01,2023-10-23,2023-10-31,2023-11-01,delivered
PO-0329,SUP-002,MAT-006,138,78.07,10773.66,2023-10-23,2023-11-13,2023-11-13,delivered
PO-0620,SUP-004,MAT-012,44,180.17,7927.48,2023-10-23,2023-10-30,2023-10-30,delivered
PO-1200,SUP-008,MAT-023,696,6.37,4433.52,2023-10-23,2023-10-27,2023-10-27,delivered
PO-0082,SUP-001,MAT-002,51,717.2,36577.2,2023-10-23,2023-11-06,2023-11-07,delivered
PO-0639,SUP-004,MAT-013,61,67.91,4142.51,2023-10-24,2023-10-31,2023-11-01,delivered
PO-0294,SUP-002,MAT-005,140,90.26,12636.4,2023-10-25,2023-11-15,2023-11-16,delivered
PO-0467,SUP-003,MAT-009,250,28.05,7012.5,2023-10-25,2023-11-06,2023-11-06,delivered
PO-0666,SUP-004,MAT-011,44,118.64,5220.16,2023-10-26,2023-11-02,2023-11-02,delivered
PO-1178,SUP-008,MAT-025,993,2.06,2045.58,2023-10-30,2023-11-03,2023-11-03,delivered
PO-0056,SUP-001,MAT-004,176,44.32,7800.32,2023-10-30,2023-11-13,2023-11-14,delivered
PO-0383,SUP-003,MAT-009,182,28.26,5143.32,2023-10-30,2023-11-09,2023-11-09,delivered
PO-0842,SUP-006,MAT-018,87,52.96,4607.52,2023-10-30,2023-11-17,2023-11-20,delivered
PO-0029,SUP-001,MAT-003,25,463.7,11592.5,2023-10-30,2023-11-13,2023-11-14,delivered
PO-0161,SUP-001,MAT-003,32,485.37,15531.84,2023-10-30,2023-11-13,2023-11-13,delivered
PO-0514,SUP-004,MAT-013,74,67.67,5007.58,2023-10-31,2023-11-07,2023-11-08,delivered
PO-0586,SUP-004,MAT-012,48,184.33,8847.84,2023-10-31,2023-11-07,2023-11-08,delivered
PO-0792,SUP-005,MAT-017,1103,3.13,3452.39,2023-11-01,2023-11-06,2023-11-07,delivered
PO-0343,SUP-002,MAT-006,125,79.21,9901.25,2023-11-02,2023-11-23,2023-11-23,delivered
PO-0498,SUP-003,MAT-009,228,28.88,6584.64,2023-11-02,2023-11-13,2023-11-14,delivered
PO-0167,SUP-001,MAT-003,22,492.12,10826.64,2023-11-02,2023-11-16,2023-11-16,delivered
PO-1096,SUP-008,MAT-024,169,15.56,2629.64,2023-11-02,2023-11-06,2023-11-07,delivered
PO-1120,SUP-008,MAT-023,392,6.7,2626.4,2023-11-02,2023-11-06,2023-11-07,delivered
PO-0350,SUP-002,MAT-006,113,75.99,8586.87,2023-11-03,2023-11-24,2023-11-24,delivered
PO-0163,SUP-001,MAT-002,44,712.46,31348.24,2023-11-06,2023-11-20,2023-11-20,delivered
PO-0041,SUP-001,MAT-003,25,502.07,12551.75,2023-11-06,2023-11-20,2023-11-20,delivered
PO-1055,SUP-008,MAT-023,575,6.57,3777.75,2023-11-06,2023-11-10,2023-11-10,delivered
PO-0656,SUP-004,MAT-013,76,65.85,5004.6,2023-11-06,2023-11-13,2023-11-13,delivered
PO-0716,SUP-005,MAT-015,822,11.47,9428.34,2023-11-07,2023-11-13,2023-11-14,delivered
