line_id,order_id,product_id,quantity,unit_price,line_total
LINE-000065,ORD-00026,PROD-006,4,2171.22,8684.88
LINE-000066,ORD-00026,PROD-012,5,983.59,4917.95
LINE-000067,ORD-00026,PROD-014,4,425.27,1701.08
LINE-000068,ORD-00027,PROD-014,2,426.33,852.66
LINE-000069,ORD-00028,PROD-017,1,2062.74,2062.74
LINE-000070,ORD-00029,PROD-004,4,2606.2,10424.8
LINE-000071,ORD-00030,PROD-002,6,4547.31,27283.86
LINE-000072,ORD-00030,PROD-006,3,2201.44,6604.32
LINE-000073,ORD-00030,PROD-003,8,1373.09,10984.72
LINE-000074,ORD-00030,PROD-001,10,3242.16,32421.6
LINE-000075,ORD-00031,PROD-008,1,3471.81,3471.81
LINE-000076,ORD-00031,PROD-012,2,971.24,1942.48
LINE-000077,ORD-00031,PROD-018,1,1438.94,1438.94
LINE-000078,ORD-00031,PROD-003,1,1404.85,1404.85
LINE-000079,ORD-00032,PROD-013,2,640.14,1280.28
LINE-000080,ORD-00032,PROD-011,2,1569.17,3138.34
LINE-000081,ORD-00032,PROD-005,1,2821.84,2821.84
LINE-000082,ORD-00033,PROD-007,1,1890.49,1890.49
LINE-000083,ORD-00034,PROD-003,1,1414.02,1414.02
LINE-000084,ORD-00034,PROD-011,1,1593.38,1593.38
LINE-000085,ORD-00034,PROD-011,2,1579.43,3158.86
LINE-000086,ORD-00035,PROD-002,6,4485.15,26910.9
LINE-000087,ORD-00035,PROD-007,5,1931.83,9659.15
LINE-000088,ORD-00036,PROD-005,1,2849.63,2849.63
LINE-000089,ORD-00036,PROD-014,4,420.28,1681.12
LINE-000090,ORD-00037,PROD-011,1,1581.92,1581.92
LINE-000091,ORD-00037,PROD-008,1,3502.81,3502.81
LINE-000092,ORD-00037,PROD-008,2,3539.06,7078.12
LINE-000093,ORD-00038,PROD-017,1,2104.5,2104.5
LINE-000094,ORD-00039,PROD-003,3,1376.49,4129.47
LINE-000095,ORD-00040,PROD-005,2,2788.27,5576.54
LINE-000096,ORD-00041,PROD-014,6,417.07,2502.42
LINE-000097,ORD-00041,PROD-009,3,2390.62,7171.86
LINE-000098,ORD-00041,PROD-014,2,425.69,851.38
LINE-000099,ORD-00041,PROD-007,8,1933.59,15468.72
LINE-000100,ORD-00042,PROD-003,1,1390.2,1390.2
LINE-000101,ORD-00042,PROD-010,2,859.9,1719.8
LINE-000102,ORD-00043,PROD-009,6,2370.17,14221.02
LINE-000103,ORD-00043,PROD-010,8,837.04,6696.32
LINE-000104,ORD-00044,PROD-003,1,1403.79,1403.79
LINE-000105,ORD-00044,PROD-017,1,2137.43,2137.43
LINE-000106,ORD-00044,PROD-001,1,3152.52,3152.52
LINE-000107,ORD-00045,PROD-004,1,2557.7,2557.7
LINE-000108,ORD-00045,PROD-017,1,2134.28,2134.28
LINE-000109,ORD-00045,PROD-017,1,2096.99,2096.99
LINE-000110,ORD-00046,PROD-013,2,662.86,1325.72
LINE-000111,ORD-00046,PROD-016,4,385.27,1541.08
LINE-000112,ORD-00046,PROD-008,1,3475.0,3475.0
LINE-000113,ORD-00046,PROD-015,6,777.33,4663.98
LINE-000114,ORD-00047,PROD-015,1,785.61,785.61
LINE-000115,ORD-00047,PROD-008,1,3471.92,3471.92
LINE-000116,ORD-00047,PROD-007,1,1919.21,1919.21
LINE-000117,ORD-00047,PROD-006,2,2196.13,4392.26
LINE-000118,ORD-00048,PROD-001,1,3155.23,3155.23
LINE-000119,ORD-00048,PROD-009,1,2440.62,2440.62
LINE-000120,ORD-00048,PROD-011,1,1576.98,1576.98
LINE-000121,ORD-00049,PROD-008,2,3566.35,7132.7
LINE-000122,ORD-00050,PROD-012,1,984.92,984.92
LINE-000123,ORD-00051,PROD-007,1,1879.27,1879.27
LINE-000124,ORD-00052,PROD-002,1,4448.62,4448.62
LINE-000125,ORD-00052,PROD-017,1,2087.58,2087.58
LINE-000126,ORD-00053,PROD-017,6,2072.59,12435.54
LINE-000127,ORD-00053,PROD-001,3,3147.68,9443.04
LINE-000128,ORD-00053,PROD-008,3,3503.09,10509.27
LINE-000129,ORD-00054,PROD-009,1,2354.15,2354.15
LINE-000130,ORD-00054,PROD-002,2,4536.6,9073.2
LINE-000131,ORD-00054,PROD-002,2,4442.85,8885.7
LINE-000132,ORD-00055,PROD-002,1,4432.41,4432.41
LINE-000133,ORD-00055,PROD-018,1,1452.18,1452.18
LINE-000134,ORD-00055,PROD-011,1,1574.34,1574.34
LINE-000135,ORD-00056,PROD-014,4,423.93,1695.72
LINE-000136,ORD-00056,PROD-015,4,794.39,3177.56
LINE-000137,ORD-00057,PROD-017,1,2128.36,2128.36
LINE-000138,ORD-00057,PROD-008,1,3509.63,3509.63
LINE-000139,ORD-00058,PROD-009,1,2400.44,2400.44
LINE-000140,ORD-00058,PROD-018,1,1469.74,1469.74
LINE-000141,ORD-00059,PROD-010,1,849.54,849.54
LINE-000142,ORD-00060,PROD-002,1,4411.06,4411.06
LINE-000143,ORD-00060,PROD-005,2,2807.88,5615.76
LINE-000144,ORD-00060,PROD-006,1,2230.8,2230.8
LINE-000145,ORD-00060,PROD-010,1,857.7,857.7
LINE-000146,ORD-00061,PROD-001,3,3228.9,9686.7
LINE-000147,ORD-00061,PROD-010,6,838.77,5032.62
LINE-000148,ORD-00061,PROD-011,10,1614.65,16146.5
LINE-000149,ORD-00062,PROD-002,5,4587.56,22937.8
LINE-000150,ORD-00062,PROD-006,2,2168.11,4336.22
LINE-000151,ORD-00063,PROD-006,6,2240.21,13441.26
LINE-000152,ORD-00063,PROD-016,2,383.76,767.52
LINE-000153,ORD-00064,PROD-001,1,3229.09,3229.09
LINE-000154,ORD-00065,PROD-017,1,2101.07,2101.07
LINE-000155,ORD-00065,PROD-008,1,3456.12,3456.12
LINE-000156,ORD-00065,PROD-010,1,836.51,836.51
LINE-000157,ORD-00066,PROD-008,1,3437.08,3437.08
LINE-000158,ORD-00067,PROD-010,2,847.83,1695.66
LINE-000159,ORD-00068,PROD-011,1,1614.38,1614.38
LINE-000160,ORD-00068,PROD-003,1,1420.87,1420.87
LINE-000161,ORD-00069,PROD-016,2,372.67,745.34
LINE-000162,ORD-00069,PROD-012,1,982.63,982.63
LINE-000163,ORD-00069,PROD-014,6,422.26,2533.56
LINE-000164,ORD-00070,PROD-016,2,381.93,763.86
LINE-000165,ORD-00070,PROD-002,1,4469.46,4469.46
LINE-000166,ORD-00071,PROD-002,2,4587.85,9175.7
LINE-000167,ORD-00071,PROD-012,2,978.84,1957.68
LINE-000168,ORD-00071,PROD-005,1,2816.69,2816.69
LINE-000169,ORD-00071,PROD-016,2,385.17,770.34
LINE-000170,ORD-00072,PROD-015,4,793.52,3174.08
LINE-000171,ORD-00072,PROD-002,1,4534.2,4534.2
LINE-000172,ORD-00073,PROD-016,4,378.8,1515.2
LINE-000173,ORD-00074,PROD-018,1,1434.17,1434.17
LINE-000174,ORD-00074,PROD-013,2,651.98,1303.96
LINE-000175,ORD-00075,PROD-008,2,3459.17,6918.34
LINE-000176,ORD-00075,PROD-008,2,3472.05,6944.1
LINE-000177,ORD-00075,PROD-011,6,1631.98,9791.88
LINE-000178,ORD-00076,PROD-004,2,2651.12,5302.24
LINE-000179,ORD-00076,PROD-010,4,841.07,3364.28
LINE-000180,ORD-00076,PROD-007,8,1874.72,14997.76
LINE-000181,ORD-00077,PROD-005,4,2750.27,11001.08
LINE-000182,ORD-00078,PROD-013,6,650.23,3901.38
LINE-000183,ORD-00078,PROD-004,1,2648.49,2648.49
LINE-000184,ORD-00079,PROD-008,10,3472.39,34723.9
LINE-000185,ORD-00080,PROD-003,2,1409.06,2818.12
LINE-000186,ORD-00081,PROD-008,5,3536.26,17681.3
LINE-000187,ORD-00081,PROD-004,3,2554.64,7663.92
LINE-000188,ORD-00082,PROD-014,2,424.6,849.2
LINE-000189,ORD-00082,PROD-018,2,1444.51,2889.02
LINE-000190,ORD-00082,PROD-016,2,372.83,745.66
LINE-000191,ORD-00082,PROD-015,6,794.74,4768.44
LINE-000192,ORD-00083,PROD-009,2,2362.84,4725.68
LINE-000193,ORD-00083,PROD-015,1,769.02,769.02
LINE-000194,ORD-00084,PROD-016,1,378.1,378.1
LINE-000195,ORD-00084,PROD-007,2,1872.71,3745.42
LINE-000196,ORD-00085,PROD-016,6,380.91,2285.46
LINE-000197,ORD-00085,PROD-003,2,1422.55,2845.1
LINE-000198,ORD-00085,PROD-009,1,2419.68,2419.68
LINE-000199,ORD-00085,PROD-005,1,2819.49,2819.49
LINE-000200,ORD-00086,PROD-010,1,856.18,856.18
LINE-000201,ORD-00086,PROD-008,1,3430.2,3430.2
LINE-000202,ORD-00087,PROD-013,6,652.83,3916.98
LINE-000203,ORD-00087,PROD-010,1,862.8,862.8
LINE-000204,ORD-00087,PROD-007,1,1930.1,1930.1
LINE-000205,ORD-00088,PROD-003,3,1388.87,4166.61
LINE-000206,ORD-00088,PROD-006,6,2197.07,13182.42
LINE-000207,ORD-00088,PROD-007,2,1896.09,3792.18
LINE-000208,ORD-00088,PROD-007,8,1905.41,15243.28
LINE-000209,ORD-00089,PROD-017,2,2120.3,4240.6
LINE-000210,ORD-00089,PROD-007,2,1870.36,3740.72
LINE-000211,ORD-00089,PROD-011,1,1630.54,1630.54
LINE-000212,ORD-00090,PROD-011,2,1588.12,3176.24
LINE-000213,ORD-00090,PROD-002,1,4544.66,4544.66
LINE-000214,ORD-00090,PROD-002,2,4580.5,9161.0
LINE-000215,ORD-00090,PROD-017,1,2125.84,2125.84
LINE-000216,ORD-00091,PROD-011,1,1603.17,1603.17
LINE-000217,ORD-00092,PROD-003,1,1404.33,1404.33
LINE-000218,ORD-00092,PROD-010,1,843.82,843.82
LINE-000219,ORD-00092,PROD-002,1,4423.75,4423.75
LINE-000220,ORD-00092,PROD-002,1,4557.47,4557.47
LINE-000221,ORD-00093,PROD-001,1,3240.22,3240.22
LINE-000222,ORD-00093,PROD-016,1,385.77,385.77
LINE-000223,ORD-00094,PROD-008,10,3461.15,34611.5
LINE-000224,ORD-00095,PROD-002,6,4458.86,26753.16
LINE-000225,ORD-00096,PROD-008,2,3498.37,6996.74
LINE-000226,ORD-00096,PROD-011,2,1579.23,3158.46
LINE-000227,ORD-00096,PROD-005,2,2788.48,5576.96
LINE-000228,ORD-00097,PROD-009,1,2416.49,2416.49
LINE-000229,ORD-00098,PROD-002,6,4434.38,26606.28
LINE-000230,ORD-00098,PROD-015,4,782.6,3130.4
LINE-000231,ORD-00098,PROD-017,10,2082.0,20820.0
LINE-000232,ORD-00099,PROD-003,5,1374.48,6872.4
LINE-000233,ORD-00099,PROD-008,10,3502.5,35025.0
LINE-000234,ORD-00100,PROD-012,6,988.29,5929.74
LINE-000235,ORD-00100,PROD-001,8,3140.94,25127.52
LINE-000236,ORD-00101,PROD-006,2,2189.98,4379.96
LINE-000237,ORD-00101,PROD-001,1,3202.69,3202.69
LINE-000238,ORD-00101,PROD-013,4,648.72,2594.88
LINE-000239,ORD-00102,PROD-003,5,1378.08,6890.4
LINE-000240,ORD-00102,PROD-010,5,844.38,4221.9
LINE-000241,ORD-00103,PROD-003,1,1373.35,1373.35
LINE-000242,ORD-00103,PROD-009,1,2418.86,2418.86
LINE-000243,ORD-00104,PROD-003,1,1377.24,1377.24
LINE-000244,ORD-00104,PROD-001,1,3253.46,3253.46
LINE-000245,ORD-00105,PROD-016,1,386.34,386.34
LINE-000246,ORD-00105,PROD-013,4,646.44,2585.76
LINE-000247,ORD-00106,PROD-009,1,2354.59,2354.59
LINE-000248,ORD-00106,PROD-014,2,424.1,848.2
LINE-000249,ORD-00107,PROD-003,8,1408.94,11271.52
LINE-000250,ORD-00107,PROD-009,5,2371.34,11856.7
LINE-000251,ORD-00107,PROD-005,10,2783.73,27837.3
LINE-000252,ORD-00108,PROD-001,1,3138.68,3138.68
LINE-000253,ORD-00108,PROD-017,1,2125.2,2125.2
LINE-000254,ORD-00108,PROD-017,1,2119.9,2119.9
LINE-000255,ORD-00109,PROD-003,4,1402.25,5609.0
LINE-000256,ORD-00109,PROD-006,10,2170.43,21704.3
LINE-000257,ORD-00110,PROD-005,2,2840.69,5681.38
LINE-000258,ORD-00110,PROD-002,1,4490.86,4490.86
LINE-000259,ORD-00110,PROD-006,1,2229.32,2229.32
LINE-000260,ORD-00110,PROD-015,4,766.83,3067.32
LINE-000261,ORD-00111,PROD-012,1,993.36,993.36
LINE-000262,ORD-00111,PROD-004,1,2594.75,2594.75
LINE-000263,ORD-00111,PROD-009,1,2380.79,2380.79
LINE-000264,ORD-00112,PROD-018,1,1457.68,1457.68
LINE-000265,ORD-00112,PROD-011,2,1588.86,3177.72
LINE-000266,ORD-00112,PROD-012,1,991.78,991.78
LINE-000267,ORD-00113,PROD-013,2,645.24,1290.48
LINE-000268,ORD-00113,PROD-002,1,4504.55,4504.55
LINE-000269,ORD-00114,PROD-015,4,773.43,3093.72
LINE-000270,ORD-00114,PROD-011,1,1587.37,1587.37
LINE-000271,ORD-00115,PROD-003,2,1397.36,2794.72
LINE-000272,ORD-00116,PROD-010,1,841.45,841.45
LINE-000273,ORD-00117,PROD-016,2,374.98,749.96
LINE-000274,ORD-00117,PROD-015,1,791.87,791.87
LINE-000275,ORD-00118,PROD-007,1,1885.61,1885.61
LINE-000276,ORD-00119,PROD-004,6,2602.15,15612.9
LINE-000277,ORD-00119,PROD-015,1,795.46,795.46
LINE-000278,ORD-00120,PROD-011,10,1571.91,15719.1
LINE-000279,ORD-00120,PROD-007,8,1869.51,14956.08
LINE-000280,ORD-00121,PROD-007,6,1915.34,11492.04
LINE-000281,ORD-00121,PROD-002,4,4418.33,17673.32
LINE-000282,ORD-00122,PROD-018,1,1471.71,1471.71
LINE-000283,ORD-00123,PROD-009,1,2385.59,2385.59
LINE-000284,ORD-00124,PROD-018,5,1435.17,7175.85
LINE-000285,ORD-00124,PROD-004,3,2618.35,7855.05
LINE-000286,ORD-00124,PROD-002,2,4486.57,8973.14
LINE-000287,ORD-00125,PROD-008,1,3443.37,3443.37
LINE-000288,ORD-00125,PROD-004,1,2604.24,2604.24
LINE-000289,ORD-00126,PROD-010,4,851.3,3405.2
LINE-000290,ORD-00127,PROD-015,2,781.05,1562.1
LINE-000291,ORD-00128,PROD-005,1,2844.0,2844.0
LINE-000292,ORD-00128,PROD-014,2,426.47,852.94
LINE-000293,ORD-00128,PROD-009,1,2406.12,2406.12
LINE-000294,ORD-00128,PROD-012,2,961.17,1922.34
LINE-000295,ORD-00129,PROD-014,6,413.67,2482.02
LINE-000296,ORD-00129,PROD-016,6,381.42,2288.52
LINE-000297,ORD-00130,PROD-007,8,1876.47,15011.76
LINE-000298,ORD-00130,PROD-017,4,2117.63,8470.52
LINE-000299,ORD-00130,PROD-010,5,857.5,4287.5
LINE-000300,ORD-00131,PROD-012,1,961.26,961.26
LINE-000301,ORD-00131,PROD-001,1,3213.78,3213.78
LINE-000302,ORD-00132,PROD-014,4,423.47,1693.88
LINE-000303,ORD-00132,PROD-015,6,793.24,4759.44
LINE-000304,ORD-00133,PROD-007,2,1925.35,3850.7
LINE-000305,ORD-00133,PROD-003,2,1400.23,2800.46
LINE-000306,ORD-00134,PROD-005,1,2832.38,2832.38
LINE-000307,ORD-00135,PROD-011,2,1614.98,3229.96
LINE-000308,ORD-00135,PROD-010,1,839.71,839.71
LINE-000309,ORD-00136,PROD-011,1,1602.98,1602.98
LINE-000310,ORD-00136,PROD-004,1,2641.32,2641.32
LINE-000311,ORD-00137,PROD-005,2,2760.3,5520.6
LINE-000312,ORD-00137,PROD-013,6,647.4,3884.4
LINE-000313,ORD-00138,PROD-005,1,2763.16,2763.16
LINE-000314,ORD-00138,PROD-016,4,378.65,1514.6
LINE-000315,ORD-00138,PROD-012,1,962.08,962.08
LINE-000316,ORD-00138,PROD-018,1,1424.57,1424.57
LINE-000317,ORD-00139,PROD-012,3,987.51,2962.53
LINE-000318,ORD-00140,PROD-001,1,3162.85,3162.85
LINE-000319,ORD-00141,PROD-006,1,2195.19,2195.19
LINE-000320,ORD-00141,PROD-008,2,3534.8,7069.6
LINE-000321,ORD-00142,PROD-009,1,2424.69,2424.69
LINE-000322,ORD-00143,PROD-007,1,1897.39,1897.39
LINE-000323,ORD-00143,PROD-009,2,2394.27,4788.54
LINE-000324,ORD-00143,PROD-002,1,4549.13,4549.13
LINE-000325,ORD-00144,PROD-006,2,2230.5,4461.0
LINE-000326,ORD-00144,PROD-007,1,1913.65,1913.65
LINE-000327,ORD-00144,PROD-016,2,377.08,754.16
LINE-000328,ORD-00145,PROD-008,10,3522.33,35223.3
LINE-000329,ORD-00145,PROD-001,3,3233.11,9699.33
LINE-000330,ORD-00146,PROD-018,6,1470.44,8822.64
LINE-000331,ORD-00146,PROD-006,10,2242.73,22427.3
LINE-000332,ORD-00146,PROD-009,4,2373.09,9492.36
LINE-000333,ORD-00146,PROD-006,8,2196.7,17573.6
LINE-000334,ORD-00147,PROD-018,1,1453.23,1453.23
LINE-000335,ORD-00147,PROD-008,2,3561.04,7122.08
LINE-000336,ORD-00148,PROD-009,10,2376.19,23761.9
LINE-000337,ORD-00148,PROD-008,8,3473.82,27790.56
LINE-000338,ORD-00149,PROD-004,1,2629.04,2629.04
LINE-000339,ORD-00149,PROD-001,1,3213.14,3213.14
LINE-000340,ORD-00150,PROD-010,1,844.36,844.36
LINE-000341,ORD-00150,PROD-014,4,425.42,1701.68
LINE-000342,ORD-00151,PROD-008,1,3472.33,3472.33
LINE-000343,ORD-00151,PROD-018,1,1449.42,1449.42
LINE-000344,ORD-00152,PROD-001,2,3146.4,6292.8
LINE-000345,ORD-00152,PROD-013,2,651.43,1302.86
LINE-000346,ORD-00153,PROD-005,2,2786.89,5573.78
LINE-000347,ORD-00153,PROD-004,2,2651.43,5302.86
LINE-000348,ORD-00154,PROD-006,2,2160.93,4321.86
LINE-000349,ORD-00154,PROD-005,1,2805.66,2805.66
LINE-000350,ORD-00155,PROD-012,3,974.99,2924.97
LINE-000351,ORD-00155,PROD-012,6,987.78,5926.68
LINE-000352,ORD-00156,PROD-006,1,2165.05,2165.05
LINE-000353,ORD-00156,PROD-005,1,2817.46,2817.46
LINE-000354,ORD-00156,PROD-018,2,1470.6,2941.2
LINE-000355,ORD-00156,PROD-018,1,1476.22,1476.22
LINE-000356,ORD-00157,PROD-015,4,782.2,3128.8
LINE-000357,ORD-00158,PROD-014,4,425.64,1702.56
LINE-000358,ORD-00158,PROD-016,2,372.66,745.32
LINE-000359,ORD-00159,PROD-014,4,420.64,1682.56
LINE-000360,ORD-00160,PROD-011,1,1621.56,1621.56
LINE-000361,ORD-00160,PROD-007,2,1892.89,3785.78
LINE-000362,ORD-00161,PROD-004,1,2576.98,2576.98
LINE-000363,ORD-00162,PROD-008,1,3529.37,3529.37
LINE-000364,ORD-00162,PROD-007,1,1918.02,1918.02
LINE-000365,ORD-00162,PROD-011,2,1610.6,3221.2
LINE-000366,ORD-00163,PROD-012,4,988.41,3953.64
LINE-000367,ORD-00163,PROD-009,2,2437.7,4875.4
LINE-000368,ORD-00164,PROD-001,1,3229.69,3229.69
LINE-000369,ORD-00164,PROD-002,1,4484.64,4484.64
LINE-000370,ORD-00165,PROD-018,5,1422.98,7114.9
LINE-000371,ORD-00165,PROD-013,4,652.06,2608.24
LINE-000372,ORD-00166,PROD-001,4,3160.09,12640.36
LINE-000373,ORD-00166,PROD-006,3,2207.59,6622.77
LINE-000374,ORD-00166,PROD-018,5,1425.01,7125.05
LINE-000375,ORD-00166,PROD-005,4,2817.0,11268.0
LINE-000376,ORD-00167,PROD-006,1,2184.67,2184.67
LINE-000377,ORD-00167,PROD-013,4,654.41,2617.64
LINE-000378,ORD-00167,PROD-005,1,2819.47,2819.47
LINE-000379,ORD-00168,PROD-010,1,846.13,846.13
LINE-000380,ORD-00168,PROD-017,1,2134.66,2134.66
LINE-000381,ORD-00168,PROD-013,2,646.26,1292.52
LINE-000382,ORD-00169,PROD-008,5,3435.38,17176.9
LINE-000383,ORD-00170,PROD-011,8,1584.58,12676.64
LINE-000384,ORD-00170,PROD-007,8,1890.44,15123.52
LINE-000385,ORD-00171,PROD-006,2,2222.73,4445.46
LINE-000386,ORD-00171,PROD-011,3,1571.28,4713.84
LINE-000387,ORD-00172,PROD-009,1,2371.5,2371.5
LINE-000388,ORD-00172,PROD-003,2,1427.13,2854.26
LINE-000389,ORD-00173,PROD-014,4,414.65,1658.6
LINE-000390,ORD-00173,PROD-018,8,1452.49,11619.92
LINE-000391,ORD-00173,PROD-006,8,2212.83,17702.64
LINE-000392,ORD-00174,PROD-005,2,2750.21,5500.42
LINE-000393,ORD-00174,PROD-015,2,773.84,1547.68
LINE-000394,ORD-00175,PROD-015,4,767.02,3068.08
LINE-000395,ORD-00175,PROD-016,2,372.88,745.76
LINE-000396,ORD-00175,PROD-007,2,1873.46,3746.92
LINE-000397,ORD-00176,PROD-004,2,2584.56,5169.12
LINE-000398,ORD-00176,PROD-007,2,1875.7,3751.4
LINE-000399,ORD-00176,PROD-013,4,659.96,2639.84
LINE-000400,ORD-00177,PROD-007,2,1908.03,3816.06
LINE-000401,ORD-00177,PROD-006,1,2213.67,2213.67
LINE-000402,ORD-00177,PROD-008,1,3561.02,3561.02
LINE-000403,ORD-00178,PROD-005,1,2758.34,2758.34
LINE-000404,ORD-00178,PROD-005,1,2793.94,2793.94
LINE-000405,ORD-00179,PROD-002,1,4430.09,4430.09
LINE-000406,ORD-00179,PROD-006,2,2175.65,4351.3
LINE-000407,ORD-00179,PROD-010,1,840.04,840.04
LINE-000408,ORD-00180,PROD-018,1,1427.64,1427.64
LINE-000409,ORD-00181,PROD-002,1,4423.97,4423.97
LINE-000410,ORD-00181,PROD-010,1,845.7,845.7
LINE-000411,ORD-00181,PROD-013,6,643.43,3860.58
LINE-000412,ORD-00182,PROD-012,2,966.92,1933.84
LINE-000413,ORD-00182,PROD-007,2,1883.07,3766.14
LINE-000414,ORD-00182,PROD-004,1,2564.2,2564.2
LINE-000415,ORD-00183,PROD-002,2,4524.64,9049.28
LINE-000416,ORD-00183,PROD-007,1,1876.59,1876.59
LINE-000417,ORD-00184,PROD-018,1,1471.94,1471.94
LINE-000418,ORD-00184,PROD-006,2,2174.43,4348.86
LINE-000419,ORD-00185,PROD-004,8,2584.28,20674.24
LINE-000420,ORD-00185,PROD-015,2,780.78,1561.56
LINE-000421,ORD-00186,PROD-011,2,1629.1,3258.2
LINE-000422,ORD-00186,PROD-003,6,1417.25,8503.5
LINE-000423,ORD-00187,PROD-018,1,1442.03,1442.03
LINE-000424,ORD-00187,PROD-018,1,1428.45,1428.45
LINE-000425,ORD-00188,PROD-002,8,4542.9,36343.2
LINE-000426,ORD-00188,PROD-014,2,418.25,836.5
LINE-000427,ORD-00189,PROD-017,1,2103.06,2103.06
LINE-000428,ORD-00189,PROD-013,4,660.16,2640.64
LINE-000429,ORD-00190,PROD-001,1,3180.67,3180.67
LINE-000430,ORD-00190,PROD-016,4,375.87,1503.48
LINE-000431,ORD-00191,PROD-001,1,3225.44,3225.44
LINE-000432,ORD-00192,PROD-008,1,3553.88,3553.88
LINE-000433,ORD-00192,PROD-018,1,1452.7,1452.7
LINE-000434,ORD-00193,PROD-005,1,2745.83,2745.83
LINE-000435,ORD-00193,PROD-005,2,2781.88,5563.76
LINE-000436,ORD-00193,PROD-007,1,1873.56,1873.56
LINE-000437,ORD-00194,PROD-007,1,1878.29,1878.29
LINE-000438,ORD-00194,PROD-016,4,379.6,1518.4
LINE-000439,ORD-00194,PROD-014,4,412.28,1649.12
LINE-000440,ORD-00195,PROD-017,2,2107.1,4214.2
LINE-000441,ORD-00195,PROD-013,2,655.64,1311.28
