order_id,customer_id,order_date,channel,status,subtotal,discount_pct,total,shipping_cost,delivery_date,rating
ORD-00030,CUST-0001,2023-07-06,wholesale,returned,77294.5,5.6,72966.01,250.49,2023-07-15,4.0
ORD-00031,CUST-0615,2023-07-06,online,delivered,8258.08,4.6,7878.21,0.0,2023-07-13,3.7
ORD-00032,CUST-0255,2023-07-06,showroom_1,delivered,7240.46,0.5,7204.26,0.0,2023-07-12,4.5
ORD-00033,CUST-0631,2023-07-06,showroom_3,delivered,1890.49,10.4,1693.88,0.0,2023-07-11,3.2
ORD-00034,CUST-0076,2023-07-06,showroom_1,delivered,6166.26,5.2,5845.61,0.0,2023-07-24,
ORD-00035,CUST-0060,2023-07-07,wholesale,delivered,36570.05,3.5,35290.1,117.68,2023-07-21,4.0
ORD-00036,CUST-0761,2023-07-07,showroom_3,delivered,4530.75,10.6,4050.49,0.0,2023-07-28,2.6
ORD-00037,CUST-0035,2023-07-07,showroom_1,delivered,12162.85,2.9,11810.13,0.0,2023-07-14,
ORD-00038,CUST-0465,2023-07-07,online,delivered,2104.5,2.2,2058.2,0.0,2023-07-23,3.5
ORD-00039,CUST-0041,2023-07-07,wholesale,delivered,4129.47,3.9,3968.42,237.77,2023-07-28,3.7
ORD-00040,CUST-0647,2023-07-07,showroom_3,returned,5576.54,12.2,4896.2,0.0,2023-07-21,3.6
ORD-00041,CUST-0062,2023-07-07,wholesale,delivered,25994.38,5.4,24590.68,220.31,2023-07-24,4.5
ORD-00042,CUST-0163,2023-07-07,online,delivered,3110.0,2.8,3022.92,0.0,2023-07-16,3.7
ORD-00043,CUST-0056,2023-07-08,wholesale,delivered,20917.34,4.4,19996.98,127.97,2023-07-29,4.1
ORD-00044,CUST-0638,2023-07-09,showroom_1,delivered,6693.74,6.5,6258.65,0.0,2023-07-26,4.5
ORD-00045,CUST-0078,2023-07-09,showroom_1,delivered,6788.97,2.9,6592.09,0.0,2023-07-25,4.8
ORD-00046,CUST-0051,2023-07-10,showroom_1,delivered,11005.78,5.3,10422.47,0.0,2023-07-19,4.5
ORD-00047,CUST-0390,2023-07-10,showroom_2,delivered,10569.0,11.8,9321.86,0.0,2023-07-18,4.3
ORD-00048,CUST-0284,2023-07-10,showroom_1,delivered,7172.83,5.3,6792.67,0.0,2023-07-26,3.7
ORD-00049,CUST-0264,2023-07-10,showroom_2,delivered,7132.7,5.4,6747.53,0.0,2023-07-29,4.5
ORD-00050,CUST-0437,2023-07-10,showroom_2,delivered,984.92,7.3,913.02,0.0,2023-07-16,3.6
ORD-00051,CUST-0759,2023-07-10,showroom_2,delivered,1879.27,9.1,1708.26,0.0,2023-07-28,3.5
ORD-00052,CUST-0399,2023-07-10,showroom_1,delivered,6536.2,4.2,6261.68,0.0,2023-07-16,
ORD-00053,CUST-0033,2023-07-10,wholesale,delivered,32387.85,7.0,30120.7,289.7,2023-07-17,
ORD-00054,CUST-0251,2023-07-10,showroom_1,delivered,20313.05,1.0,20109.92,0.0,2023-07-16,4.0
ORD-00055,CUST-0724,2023-07-11,showroom_2,delivered,7458.93,6.4,6981.56,0.0,2023-07-28,4.8
ORD-00056,CUST-0632,2023-07-11,showroom_2,delivered,4873.28,12.1,4283.61,0.0,2023-07-29,4.1
ORD-00057,CUST-0007,2023-07-11,showroom_1,delivered,5637.99,2.3,5508.32,0.0,2023-07-21,4.5
ORD-00058,CUST-0468,2023-07-11,showroom_1,returned,3870.18,3.7,3726.98,0.0,2023-07-29,
ORD-00059,CUST-0581,2023-07-11,showroom_1,delivered,849.54,3.8,817.26,0.0,2023-07-21,
ORD-00060,CUST-0247,2023-07-11,online,delivered,13115.32,2.1,12839.9,0.0,2023-07-25,3.3
ORD-00061,CUST-0056,2023-07-11,wholesale,delivered,30865.82,7.7,28489.15,160.34,2023-07-26,3.9
ORD-00062,CUST-0023,2023-07-12,wholesale,delivered,27274.02,4.3,26101.24,154.65,2023-07-19,5.0
ORD-00063,CUST-0038,2023-07-12,wholesale,delivered,14208.78,6.8,13242.58,161.16,2023-07-24,
ORD-00064,CUST-0212,2023-07-12,showroom_1,delivered,3229.09,3.6,3112.84,0.0,2023-07-22,4.2
ORD-00065,CUST-0059,2023-07-12,online,delivered,6393.7,2.9,6208.28,0.0,2023-07-29,3.3
ORD-00066,CUST-0443,2023-07-12,showroom_2,delivered,3437.08,2.3,3358.03,0.0,2023-07-24,
ORD-00067,CUST-0231,2023-07-13,showroom_2,delivered,1695.66,6.8,1580.36,0.0,2023-07-19,4.1
ORD-00068,CUST-0298,2023-07-13,showroom_2,delivered,3035.25,0.0,3035.25,0.0,2023-07-22,4.2
ORD-00069,CUST-0782,2023-07-13,showroom_1,returned,4261.53,6.5,3984.53,0.0,2023-07-22,5.0
ORD-00070,CUST-0090,2023-07-13,showroom_2,delivered,5233.32,8.0,4814.65,0.0,2023-07-23,4.2
ORD-00071,CUST-0340,2023-07-13,showroom_3,delivered,14720.41,12.7,12850.92,0.0,2023-07-31,2.8
ORD-00072,CUST-0647,2023-07-13,showroom_3,delivered,7708.28,14.0,6629.12,0.0,2023-07-27,3.0
ORD-00073,CUST-0627,2023-07-13,online,delivered,1515.2,4.3,1450.05,44.22,2023-07-30,4.3
ORD-00074,CUST-0234,2023-07-13,showroom_2,delivered,2738.13,8.0,2519.08,0.0,2023-07-27,4.1
ORD-00075,CUST-0052,2023-07-14,wholesale,delivered,23654.32,2.6,23039.31,147.19,2023-07-28,3.9
ORD-00076,CUST-0043,2023-07-14,wholesale,delivered,23664.28,9.6,21392.51,116.38,2023-07-25,4.5
ORD-00077,CUST-0041,2023-07-14,wholesale,delivered,11001.08,5.6,10385.02,80.25,2023-07-20,4.0
ORD-00078,CUST-0149,2023-07-14,showroom_3,returned,6549.87,15.2,5554.29,0.0,2023-07-22,3.1
ORD-00079,CUST-0035,2023-07-15,wholesale,delivered,34723.9,5.3,32883.53,165.17,2023-07-24,
ORD-00080,CUST-0006,2023-07-15,wholesale,delivered,2818.12,6.7,2629.31,82.82,2023-07-20,
ORD-00081,CUST-0031,2023-07-16,wholesale,delivered,25345.22,7.2,23520.36,139.1,2023-08-01,3.6
ORD-00082,CUST-0023,2023-07-17,wholesale,delivered,9252.32,5.2,8771.2,64.56,2023-07-22,4.7
ORD-00083,CUST-0026,2023-07-17,showroom_2,delivered,5494.7,1.7,5401.29,0.0,2023-07-24,4.4
ORD-00084,CUST-0065,2023-07-17,wholesale,returned,4123.52,5.3,3904.97,263.39,2023-07-25,3.3
ORD-00085,CUST-0145,2023-07-17,online,delivered,10369.73,1.3,10234.92,0.0,2023-08-03,4.4
ORD-00086,CUST-0004,2023-07-17,showroom_1,returned,4286.38,9.0,3900.61,0.0,2023-08-03,5.0
ORD-00087,CUST-0067,2023-07-17,showroom_1,delivered,6709.88,8.5,6139.54,0.0,2023-07-29,3.9
ORD-00088,CUST-0003,2023-07-17,wholesale,delivered,36384.49,6.6,33983.11,168.15,2023-07-27,
ORD-00089,CUST-0301,2023-07-17,showroom_1,delivered,9611.86,4.2,9208.16,0.0,2023-08-04,
ORD-00090,CUST-0410,2023-07-17,showroom_1,delivered,19007.74,7.7,17544.14,0.0,2023-08-04,3.8
ORD-00091,CUST-0779,2023-07-18,showroom_2,delivered,1603.17,4.2,1535.84,0.0,2023-08-04,4.0
ORD-00092,CUST-0733,2023-07-18,showroom_2,delivered,11229.37,5.4,10622.98,0.0,2023-07-23,4.1
ORD-00093,CUST-0412,2023-07-18,showroom_3,delivered,3625.99,16.4,3031.33,0.0,2023-08-04,4.2
ORD-00094,CUST-0059,2023-07-18,wholesale,delivered,34611.5,6.7,32292.53,227.28,2023-07-27,
ORD-00095,CUST-0041,2023-07-19,wholesale,delivered,26753.16,4.6,25522.51,251.44,2023-07-26,4.1
ORD-00096,CUST-0598,2023-07-19,showroom_1,delivered,15732.16,2.1,15401.78,0.0,2023-08-06,4.5
ORD-00097,CUST-0084,2023-07-19,showroom_1,delivered,2416.49,3.0,2344.0,0.0,2023-07-26,4.2
ORD-00098,CUST-0056,2023-07-19,wholesale,delivered,50556.68,6.1,47472.72,152.07,2023-08-03,4.6
ORD-00099,CUST-0030,2023-07-19,wholesale,delivered,41897.4,6.8,39048.38,107.25,2023-07-24,
ORD-00100,CUST-0049,2023-07-19,wholesale,delivered,31057.26,10.2,27889.42,54.45,2023-08-06,4.0
ORD-00101,CUST-0058,2023-07-19,online,delivered,10177.53,4.2,9750.07,0.0,2023-07-26,
ORD-00102,CUST-0049,2023-07-19,wholesale,delivered,11112.3,7.2,10312.21,103.25,2023-08-03,4.1
ORD-00103,CUST-0118,2023-07-19,online,delivered,3792.21,4.1,3636.73,0.0,2023-07-31,3.8
ORD-00104,CUST-0390,2023-07-19,showroom_2,delivered,4630.7,6.7,4320.44,0.0,2023-07-30,3.7
ORD-00105,CUST-0107,2023-07-19,showroom_1,delivered,2972.1,0.5,2957.24,0.0,2023-07-31,4.3
ORD-00106,CUST-0594,2023-07-19,showroom_1,delivered,3202.79,6.4,2997.81,0.0,2023-08-02,4.8
ORD-00107,CUST-0003,2023-07-20,wholesale,delivered,50965.52,6.1,47856.62,102.88,2023-08-01,4.0
ORD-00108,CUST-0340,2023-07-20,showroom_3,delivered,7383.78,8.8,6734.01,0.0,2023-08-08,4.2
ORD-00109,CUST-0003,2023-07-20,wholesale,returned,27313.3,10.6,24418.09,172.36,2023-07-29,
ORD-00110,CUST-0205,2023-07-20,showroom_1,delivered,15468.88,3.4,14942.94,0.0,2023-08-10,
ORD-00111,CUST-0736,2023-07-21,online,delivered,5968.9,2.7,5807.74,0.0,2023-07-26,3.3
ORD-00112,CUST-0677,2023-07-21,showroom_2,delivered,5627.18,6.5,5261.41,0.0,2023-08-07,3.4
ORD-00113,CUST-0561,2023-07-21,showroom_1,delivered,5795.03,1.0,5737.08,0.0,2023-08-07,3.7
ORD-00114,CUST-0272,2023-07-21,showroom_1,delivered,4681.09,0.0,4681.09,0.0,2023-07-31,4.1
ORD-00115,CUST-0273,2023-07-22,showroom_3,returned,2794.72,8.7,2551.58,0.0,2023-07-30,3.4
ORD-00116,CUST-0799,2023-07-23,showroom_3,delivered,841.45,10.6,752.26,0.0,2023-08-12,3.6
ORD-00117,CUST-0084,2023-07-24,showroom_1,delivered,1541.83,7.0,1433.9,0.0,2023-08-14,4.4
ORD-00118,CUST-0748,2023-07-24,showroom_2,delivered,1885.61,6.7,1759.27,0.0,2023-08-02,4.2
ORD-00119,CUST-0023,2023-07-24,wholesale,delivered,16408.36,6.6,15325.41,141.27,2023-08-07,4.2
ORD-00120,CUST-0027,2023-07-24,wholesale,delivered,30675.18,7.6,28343.87,191.25,2023-08-12,4.6
ORD-00121,CUST-0039,2023-07-24,wholesale,delivered,29165.36,3.7,28086.24,191.29,2023-08-08,4.2
ORD-00122,CUST-0657,2023-07-24,showroom_2,delivered,1471.71,11.1,1308.35,0.0,2023-08-14,4.5
ORD-00123,CUST-0771,2023-07-24,showroom_2,delivered,2385.59,8.2,2189.97,0.0,2023-08-01,4.8
ORD-00124,CUST-0027,2023-07-24,wholesale,delivered,24004.04,5.7,22635.81,183.44,2023-08-09,
ORD-00125,CUST-0330,2023-07-24,showroom_2,delivered,6047.61,9.4,5479.13,0.0,2023-08-14,4.1
ORD-00126,CUST-0037,2023-07-24,wholesale,delivered,3405.2,2.1,3333.69,235.66,2023-08-06,4.3
ORD-00127,CUST-0689,2023-07-25,showroom_1,delivered,1562.1,2.8,1518.36,0.0,2023-08-01,4.0
ORD-00128,CUST-0044,2023-07-25,showroom_1,delivered,8025.4,6.0,7543.88,0.0,2023-08-02,4.3
ORD-00129,CUST-0697,2023-07-25,showroom_1,delivered,4770.54,4.2,4570.18,0.0,2023-08-10,4.0
ORD-00130,CUST-0023,2023-07-25,wholesale,delivered,27769.78,3.9,26686.76,155.48,2023-08-02,4.5
ORD-00131,CUST-0743,2023-07-25,showroom_1,delivered,4175.04,6.3,3912.01,0.0,2023-08-02,
ORD-00132,CUST-0658,2023-07-25,showroom_2,delivered,6453.32,7.9,5943.51,0.0,2023-08-09,4.3
ORD-00133,CUST-0793,2023-07-26,online,delivered,6651.16,4.2,6371.81,0.0,2023-08-12,
ORD-00134,CUST-0284,2023-07-26,showroom_1,delivered,2832.38,5.1,2687.93,0.0,2023-08-10,4.3
ORD-00135,CUST-0742,2023-07-26,online,returned,4069.67,2.3,3976.07,0.0,2023-08-08,4.0
ORD-00136,CUST-0305,2023-07-26,showroom_2,delivered,4244.3,2.4,4142.44,0.0,2023-08-11,3.9
ORD-00137,CUST-0787,2023-07-26,showroom_2,delivered,9405.0,7.3,8718.44,0.0,2023-08-15,
ORD-00138,CUST-0761,2023-07-26,showroom_3,delivered,6664.41,13.0,5798.04,0.0,2023-08-14,
ORD-00139,CUST-0049,2023-07-26,wholesale,delivered,2962.53,6.6,2767.0,69.38,2023-08-01,
ORD-00140,CUST-0441,2023-07-27,showroom_1,delivered,3162.85,6.6,2954.1,0.0,2023-08-16,4.1
ORD-00141,CUST-0581,2023-07-27,showroom_1,delivered,9264.79,4.0,8894.2,0.0,2023-08-08,
ORD-00142,CUST-0097,2023-07-27,showroom_2,delivered,2424.69,7.1,2252.54,0.0,2023-08-09,4.6
ORD-00143,CUST-0366,2023-07-28,showroom_2,delivered,11235.06,6.2,10538.49,0.0,2023-08-12,3.4
ORD-00144,CUST-0261,2023-07-28,showroom_2,delivered,7128.81,8.5,6522.86,0.0,2023-08-02,
ORD-00145,CUST-0033,2023-07-28,wholesale,delivered,44922.63,2.7,43709.72,96.76,2023-08-13,4.6
ORD-00146,CUST-0001,2023-07-28,wholesale,delivered,58315.9,8.8,53184.1,138.74,2023-08-15,4.0
ORD-00147,CUST-0555,2023-07-28,showroom_1,delivered,8575.31,4.3,8206.57,0.0,2023-08-18,4.2
ORD-00148,CUST-0003,2023-07-29,wholesale,delivered,51552.46,9.4,46706.53,85.21,2023-08-04,4.5
ORD-00149,CUST-0229,2023-07-29,showroom_2,delivered,5842.18,5.5,5520.86,0.0,2023-08-16,3.7
ORD-00150,CUST-0239,2023-07-29,showroom_3,delivered,2546.04,7.6,2352.54,0.0,2023-08-17,3.5
ORD-00151,CUST-0232,2023-07-30,showroom_1,delivered,4921.75,2.6,4793.78,0.0,2023-08-04,4.2
ORD-00152,CUST-0003,2023-07-30,wholesale,delivered,7595.66,5.3,7193.09,151.12,2023-08-14,4.3
ORD-00153,CUST-0587,2023-07-31,showroom_2,delivered,10876.64,7.1,10104.4,0.0,2023-08-10,4.0
ORD-00154,CUST-0389,2023-07-31,showroom_3,delivered,7127.52,13.0,6200.94,0.0,2023-08-18,2.3
ORD-00155,CUST-0003,2023-07-31,wholesale,delivered,8851.65,10.8,7895.67,76.66,2023-08-13,4.8
ORD-00156,CUST-0327,2023-07-31,showroom_2,delivered,9399.93,7.8,8666.74,0.0,2023-08-13,4.7
ORD-00157,CUST-0053,2023-07-31,wholesale,delivered,3128.8,7.4,2897.27,138.29,2023-08-17,4.1
ORD-00158,CUST-0414,2023-07-31,showroom_1,delivered,2447.88,7.3,2269.18,0.0,2023-08-07,
ORD-00159,CUST-0196,2023-07-31,showroom_2,delivered,1682.56,6.8,1568.15,0.0,2023-08-15,
ORD-00160,CUST-0315,2023-07-31,showroom_2,delivered,5407.34,2.6,5266.75,0.0,2023-08-09,4.3
ORD-00161,CUST-0521,2023-08-01,showroom_3,delivered,2576.98,9.0,2345.05,0.0,2023-08-14,
ORD-00162,CUST-0353,2023-08-01,showroom_3,delivered,8668.59,11.1,7706.38,0.0,2023-08-21,4.2
ORD-00163,CUST-0043,2023-08-01,wholesale,delivered,8829.04,6.7,8237.49,175.55,2023-08-10,4.5
ORD-00164,CUST-0125,2023-08-01,showroom_2,delivered,7714.33,11.3,6842.61,0.0,2023-08-13,3.9
ORD-00165,CUST-0049,2023-08-01,wholesale,delivered,9723.14,5.4,9198.09,166.66,2023-08-20,4.0
ORD-00166,CUST-0032,2023-08-01,wholesale,delivered,37656.18,7.3,34907.28,57.32,2023-08-07,4.0
ORD-00167,CUST-0371,2023-08-01,showroom_1,returned,7621.78,5.0,7240.69,0.0,2023-08-20,4.2
ORD-00168,CUST-0430,2023-08-01,showroom_3,delivered,4273.31,12.1,3756.24,0.0,2023-08-09,3.2
ORD-00169,CUST-0005,2023-08-01,wholesale,delivered,17176.9,5.5,16232.17,158.46,2023-08-11,3.6
ORD-00170,CUST-0038,2023-08-02,wholesale,delivered,27800.16,9.0,25298.15,240.2,2023-08-18,4.5
ORD-00171,CUST-0001,2023-08-02,wholesale,delivered,9159.3,5.3,8673.86,220.74,2023-08-19,4.2
ORD-00172,CUST-0252,2023-08-02,showroom_1,delivered,5225.76,6.6,4880.86,0.0,2023-08-21,
ORD-00173,CUST-0045,2023-08-02,wholesale,delivered,30981.16,6.3,29029.35,151.51,2023-08-17,4.2
ORD-00174,CUST-0612,2023-08-02,online,delivered,7048.1,3.9,6773.22,0.0,2023-08-13,3.5
ORD-00175,CUST-0642,2023-08-02,showroom_2,delivered,7560.76,9.7,6827.37,0.0,2023-08-19,3.2
ORD-00176,CUST-0072,2023-08-02,showroom_1,delivered,11560.36,7.1,10739.57,0.0,2023-08-22,
ORD-00177,CUST-0617,2023-08-02,online,delivered,9590.75,3.3,9274.26,0.0,2023-08-18,3.7
ORD-00178,CUST-0053,2023-08-02,showroom_1,delivered,5552.28,4.9,5280.22,0.0,2023-08-08,3.6
ORD-00179,CUST-0713,2023-08-02,online,delivered,9621.43,2.7,9361.65,0.0,2023-08-07,3.8
ORD-00180,CUST-0354,2023-08-02,showroom_2,delivered,1427.64,7.7,1317.71,0.0,2023-08-21,4.9
ORD-00181,CUST-0029,2023-08-02,showroom_1,delivered,9130.25,3.6,8801.56,0.0,2023-08-07,4.8
ORD-00182,CUST-0686,2023-08-03,showroom_2,delivered,8264.18,4.8,7867.5,0.0,2023-08-14,3.2
ORD-00183,CUST-0675,2023-08-03,showroom_2,delivered,10925.87,8.6,9986.25,0.0,2023-08-11,4.4
ORD-00184,CUST-0432,2023-08-03,showroom_3,delivered,5820.8,14.2,4994.25,0.0,2023-08-17,3.1
ORD-00185,CUST-0027,2023-08-03,wholesale,delivered,22235.8,3.1,21546.49,188.36,2023-08-15,3.3
ORD-00186,CUST-0035,2023-08-03,wholesale,delivered,11761.7,4.5,11232.42,115.21,2023-08-24,4.0
ORD-00187,CUST-0376,2023-08-03,showroom_1,delivered,2870.48,3.2,2778.62,0.0,2023-08-12,
ORD-00188,CUST-0043,2023-08-03,wholesale,returned,37179.7,7.5,34391.22,205.68,2023-08-11,3.9
ORD-00189,CUST-0486,2023-08-03,showroom_2,returned,4743.7,9.5,4293.05,0.0,2023-08-11,
ORD-00190,CUST-0202,2023-08-03,showroom_2,delivered,4684.15,5.8,4412.47,0.0,2023-08-08,
ORD-00191,CUST-0150,2023-08-03,showroom_1,delivered,3225.44,5.7,3041.59,0.0,2023-08-08,4.2
ORD-00192,CUST-0621,2023-08-03,showroom_3,delivered,5006.58,8.2,4596.04,0.0,2023-08-09,2.9
ORD-00193,CUST-0065,2023-08-03,online,delivered,10183.15,3.1,9867.47,0.0,2023-08-22,4.1
ORD-00194,CUST-0705,2023-08-04,online,delivered,5045.81,4.5,4818.75,0.0,2023-08-13,
ORD-00195,CUST-0708,2023-08-04,showroom_1,delivered,5525.48,5.9,5199.48,0.0,2023-08-16,4.5
ORD-00196,CUST-0044,2023-08-04,showroom_1,delivered,11072.21,9.5,10020.35,0.0,2023-08-15,
ORD-00197,CUST-0741,2023-08-04,showroom_2,delivered,4474.12,6.1,4201.2,0.0,2023-08-11,4.1
ORD-00198,CUST-0234,2023-08-04,showroom_2,delivered,2211.12,4.8,2104.99,0.0,2023-08-20,4.0
ORD-00199,CUST-0238,2023-08-04,online,delivered,2118.88,2.0,2076.5,0.0,2023-08-24,4.0
ORD-00200,CUST-0182,2023-08-04,online,returned,6288.27,4.4,6011.59,0.0,2023-08-18,3.0
ORD-00201,CUST-0091,2023-08-04,showroom_3,delivered,10521.26,13.4,9111.41,0.0,2023-08-09,4.0
ORD-00202,CUST-0034,2023-08-04,wholesale,delivered,29593.47,6.9,27551.52,279.82,2023-08-11,3.4
ORD-00203,CUST-0276,2023-08-04,showroom_2,returned,7532.92,6.3,7058.35,0.0,2023-08-11,
ORD-00204,CUST-0715,2023-08-05,online,delivered,377.82,3.6,364.22,85.77,2023-08-21,3.7
ORD-00205,CUST-0032,2023-08-05,wholesale,delivered,40005.24,1.5,39405.16,296.1,2023-08-15,4.5
ORD-00206,CUST-0561,2023-08-06,showroom_1,delivered,6313.47,5.5,5966.23,0.0,2023-08-16,4.9
ORD-00207,CUST-0450,2023-08-07,showroom_2,delivered,7574.6,6.0,7120.12,0.0,2023-08-25,4.3
ORD-00208,CUST-0362,2023-08-07,showroom_1,delivered,5317.19,4.6,5072.6,0.0,2023-08-13,4.7
ORD-00209,CUST-0443,2023-08-07,showroom_2,delivered,1597.59,10.2,1434.64,0.0,2023-08-21,5.0
ORD-00210,CUST-0182,2023-08-07,online,delivered,2446.12,3.5,2360.51,0.0,2023-08-23,3.0
ORD-00211,CUST-0005,2023-08-07,wholesale,delivered,16212.28,2.6,15790.76,166.18,2023-08-16,4.3
ORD-00212,CUST-0579,2023-08-07,online,delivered,3749.24,2.5,3655.51,0.0,2023-08-15,
ORD-00213,CUST-0268,2023-08-07,showroom_2,delivered,6735.93,5.5,6365.45,0.0,2023-08-15,
ORD-00214,CUST-0014,2023-08-07,showroom_2,delivered,5251.74,3.4,5073.18,0.0,2023-08-20,3.8
ORD-00215,CUST-0026,2023-08-07,showroom_2,delivered,11596.53,9.3,10518.05,0.0,2023-08-24,
ORD-00216,CUST-0639,2023-08-08,showroom_3,delivered,1867.54,11.8,1647.17,0.0,2023-08-15,3.8
ORD-00217,CUST-0474,2023-08-08,showroom_1,delivered,13705.2,3.6,13211.81,0.0,2023-08-14,4.8
ORD-00218,CUST-0039,2023-08-08,wholesale,returned,7020.88,5.8,6613.67,95.98,2023-08-26,
ORD-00219,CUST-0457,2023-08-08,showroom_3,delivered,6590.49,10.3,5911.67,0.0,2023-08-16,4.0
ORD-00220,CUST-0061,2023-08-08,wholesale,delivered,13895.32,9.1,12630.85,146.04,2023-08-26,4.6
ORD-00221,CUST-0763,2023-08-08,showroom_1,delivered,10006.28,4.8,9525.98,0.0,2023-08-21,4.4
ORD-00222,CUST-0582,2023-08-08,showroom_1,delivered,12193.58,2.0,11949.71,0.0,2023-08-15,4.5
ORD-00223,CUST-0076,2023-08-08,showroom_1,delivered,2195.74,6.5,2053.02,0.0,2023-08-14,4.1
ORD-00224,CUST-0044,2023-08-08,showroom_1,delivered,2814.82,3.2,2724.75,0.0,2023-08-22,4.4
ORD-00225,CUST-0426,2023-08-09,showroom_2,delivered,10039.68,10.4,8995.55,0.0,2023-08-22,4.6
ORD-00226,CUST-0451,2023-08-09,showroom_3,delivered,1625.87,14.2,1395.0,0.0,2023-08-17,3.2
ORD-00227,CUST-0049,2023-08-09,wholesale,delivered,28169.94,4.7,26845.95,164.6,2023-08-25,
ORD-00228,CUST-0143,2023-08-09,showroom_1,delivered,4255.11,0.0,4255.11,0.0,2023-08-27,4.2
ORD-00229,CUST-0784,2023-08-09,showroom_1,delivered,14910.76,4.4,14254.69,0.0,2023-08-30,4.2
ORD-00230,CUST-0107,2023-08-09,showroom_1,delivered,1466.8,1.9,1438.93,0.0,2023-08-20,4.1
ORD-00231,CUST-0016,2023-08-09,wholesale,delivered,36017.67,5.9,33892.63,85.82,2023-08-30,3.5
ORD-00232,CUST-0032,2023-08-09,wholesale,delivered,28889.49,7.5,26722.78,172.87,2023-08-27,3.8
ORD-00233,CUST-0798,2023-08-09,showroom_2,delivered,1433.28,7.6,1324.35,0.0,2023-08-15,4.3
ORD-00234,CUST-0658,2023-08-09,showroom_2,delivered,1929.17,11.8,1701.53,0.0,2023-08-18,4.2
ORD-00235,CUST-0023,2023-08-09,wholesale,delivered,24376.7,6.8,22719.08,132.85,2023-08-20,5.0
ORD-00236,CUST-0027,2023-08-10,wholesale,returned,14630.7,3.0,14191.78,98.72,2023-08-29,4.3
ORD-00237,CUST-0393,2023-08-10,showroom_2,delivered,6865.22,6.5,6418.98,0.0,2023-08-22,3.7
